mbid	thedomid	thename	location	explanation
fa206d9ec5fa	UP7Y4960	Agile	05-11	NULL
15d968d59cab	UP7Y4622	Aglaya	12-57	NULL
7365347f0de0	UP5P0706	Agliophobia	66-37	-
70e229a3d5eb	UP6Y4432	Agni	65-21	Indian Gods and legendary heroes
f1ef76a51884	UP4P0100	Agnolotti	50-53	-
3d118092cc2d	UP7Y4584	Agnutes	76-09	NULL
01585c813566	TP7Y4639	Agrafena	20-44	NULL
520fd910f398	UP6Y4324	Ahau_Chamahez	56-17	NULL
43ac1088a59c	TP6Y4333	Ahau_Kin	66-28	NULL
ce7adf95fbcf	TP6P1445	AHDL	75-28	Altera Hardware Description Language for programming CPLD and FPGA
99afdb2e63c4	TP6Y4245	Ahmakiq	47-30	NULL
281c886b19e0	TP5Y0163	Ahrensfelde	52-64	-
4059e1e9267d	TP7P2293	Ahtna_Tribe	17-22	NULL
5e59556bd24c	TP6Y4345	Ahulane	46-08	NULL
2a44003801dc	TP6Y4329	Ah_Bolom_Tzacab	77-26	NULL
dd1953e43397	UP6Y4334	Ah_Chuy_Kak	72-41	NULL
cacb47e2c238	TP6Y4339	Ah_Cun_Can	46-10	NULL
c09ad7a7ea16	TP6Y4323	Ah_Kinchil	66-24	NULL
0445154519b2	UP6Y4318	Ah_Mucen_Cab	66-29	NULL
7554a446d6f9	UP6Y4242	Ah_Puch	65-45	NULL
bcf6f8a59b38	TP7Y4827	Aida	06-06	NULL
8770f7341dc8	TP7Y4941	Aim	34-42	NULL
ca3b900516ba	UP6P1712	Air_Botswana	60-15	Botswana national airline
8e915fcd588c	UP6P1716	Air_Burkina	52-21	Burkina Faso national airline
d070b50e6018	TP6P1823	Air_Burundi	74-14	Burundi national airline
67d20467c806	UP6P1772	Air_Canada	74-49	Canada national airline
6b32222e1c66	TP6P1821	Air_China	74-34	Peoples Republic of China national airline
bdce2d491514	UP6P1758	Air_Comores	74-19	Comoros national airline
ec069d41029c	UP6P1778	Air_France	53-37	France national airline
5a40b016e798	UP6P1768	Air_Gabon	53-39	Gabon national airline
2f1df844689e	TP6P1765	Air_Guyane	60-26	French Guiana national airline
695e408742b4	TP6P1783	Air_Ivoire	61-06	Cote dIvoire national airline
664f0608bcdc	TP6P1645	Air_Santo_Domingo	61-42	Dominican Republic national airline
4bb7a2b510af	UP6P1754	Aitutaki	17-15	NULL
57e93012557d	UP6Y4286	Ajbit	66-31	NULL
74d82bb5ad4d	TP6Y4289	Ajtzak	74-52	NULL
22c1d090b1eb	AP4P0063	Akagai	30-61	-
7dd7dbc1e5aa	TP5H0165	Akalla	29-38	-
28b3ab2d6f73	UP6Y4294	Akhushtal	58-29	NULL
257642a618f4	UP7Y4660	Aksinya	20-23	NULL
98b9f2357d0e	UP7H8000	Akter	03-35	NULL
391709c03e20	UP6H7502	Aktergatan	43-07	-
9e22b220df7c	UP7H8128	Akterskeppet	23-17	NULL
d601cd46b263	UP4Y0040	Aktien	46-13	-
a3160dc6bb2b	UP5P0954	Alabama	71-21	-
8840d5b7c60c	UP8Y5088	Alabaster	08-53	NULL
b592c5613a00	UP6H7552	Alan_Elcheikh	45-01	-
22c2b1453486	UP5P0970	Alaska	75-17	-
1bab7411b904	TP7Y4791	Alauda_Razae	27-28	NULL
420e63988874	TP6P1797	Albanian_Airlines	61-54	Albania national airline
75f7917d9ef1	UP6H7500	AlbaNova	12-55	NULL
3e330666139d	TP5P0939	Albany	49-22	-
778fa3a8e2bf	UL9P6630	Albino_Shouting_Gorilla	84-27	NULL
8a6763d90eb5	UP5H0158	Alby	2022-03	NULL
7d51fc47fae7	UP5P0894	Alcoholophilia	71-19	-
5a17b09191f9	UL8P6504	Aldan_River	85-07	NULL
d2f3e6129811	TP4Y0047	Aldersbacher	17-12	-
ebfe61063472	TP5Y0075	Aldershof	54-36	-
87ed81f4ac2f	UL9P6736	Alder_Tree	84-53	NULL
c0bde286456c	AP7P2095	Aldof_Nordenskiold	02-64	NULL
abffc18cfb4b	UP4P0176	Ale	30-35	-
a7c9e7c099b6	UP7Y4672	Aleksey	20-53	NULL
5f25fa3b0195	UP7P2266	Aleut_Nation	41-09	NULL
ccb14563aee5	TP5Y0121	Alexanderplatz	-	-
ed15bebde247	TP7P2793	Alexander_Kielland	04-12	NULL
0d5ca4453398	AP6P1159	Alexandria	75-62	NULL
047b664ed8bf	UP7P2696	Alexandria_Lighthouse	04-35	NULL
0d2bd720bf91	UP4Y0042	Alex_Rolinck	59-05	-
0a9dc8de00c3	TP5Y0171	Alfa_Romeo_Spider	40-52	-
38fe11a899d0	UL9H6014	Alflugsvamp	81-15	NULL
74437a4fe111	TP4H0016	Alfred	30-30	-
8c0aa8139aca	UP8P3346	Algarve_Churro	27-15	NULL
0f0958573c09	UP6P1446	ALGOL	75-19	ALGOrithmic Language developed in the 1960s
8d136534d088	UP5P0732	Algology	38-19	-
7decbe7147e1	UP5P0640	Algophobia	66-51	-
8cd615bc89d1	TP5H0141	Alharan	37-44	-
d9b620162ce6	TP6P1609	Alice_Blue	71-38	color
a5dbca217741	TP8P3407	Alighieri	37-10	NULL
7daebc111939	UP5H0190	Alkekung	47-19	-
1a08906dbb17	UP5P0794	Allergology	73-07	-
0a8c1d4734ea	TP7P2669	Allonim	31-22	NULL
982cfeb7b6b0	UL9H6066	Alm	85-09	NULL
ad72c2daa67c	TP7Y4763	Almaviva	34-32	NULL
9956159a32c9	TP7P2671	Almog	80-22	NULL
512e359a643b	TP7Y4797	Aloe_Pillansii	27-60	NULL
6150c6b4733c	TP6Y4269	Alom	72-40	NULL
64581493a40b	UP5P0564	Alp	39-29	-
119036837ee8	UP4P0240	Alpaca	66-45	-
7a3e42aff81b	TP8P3585	Alpe_dHuez	22-40	NULL
d2c87c4f0172	TP5Y0173	Alpine_A220	59-10	-
e5aec100ec5d	TP4Y0065	Alpirsbacher	26-60	-
62a2a9f8a9f1	TL9H6041	Alpskinn	85-48	NULL
f07c25974859	UP6P1454	Alsek_River	63-55	rises in the Yukon
a95cd1ea85de	UP4Y0024	Alsfelder	58-59	-
778238565a04	TP7Y4811	Alsophis_Ater	36-10	NULL
67e808cbec07	UP8P3612	Alta	14-07	NULL
507589a5e5ce	TP8P3343	Altai	27-14	NULL
edc24bfa1009	TP8P3345	Altay	27-10	NULL
e44a199ef687	UP5H0206	Altorp	50-33	-
cc7cab0c3aa3	UP7P2572	Altstadt	31-11	NULL
31e4c559571d	TP6H7503	Aluddsparken	-	-
ddad59b68a8e	UP4P0210	Aluminum	54-25	-
e279d4c39ba4	UP7P2582	Alumot	32-49	NULL
fb2a9e5fd451	TP5H0115	Alvik	39-52	-
677103df0166	TP8P3477	Alyeska	07-06	NULL
8a612bdf3ae7	TP7P2233	Aman	17-54	NULL
1e5b72775d19	AMASync1	AMANDA_SYNC_DOM	00-91	-
1d165fc478ca	AMATrig1	AMANDA_TRIG_DOM	00-92	NULL
9351a1c0e4a5	UP6H7504	Amarantertrappan	72-07	-
8a0153338c83	TP6Y4417	Amaravati	74-48	Indian Gods and legendary heroes
49575140b972	UP6P1274	Amaryllis	58-19	A Flower
7add113376e5	UL9P6624	Amazonians	81-49	NULL
1bcc88ebddc1	UP7Y4586	Ambarri	60-41	NULL
21977f66dc55	TP4P0133	Amber	40-50	-
5a3b102f61c5	TP6P1599	Amber_Color	63-04	A color
663bc1ef3b68	TP7Y4601	Ambiani	61-58	NULL
90078d8de637	UP7Y4582	Ambibarii	61-05	NULL
a1b35d8f2a0b	TP7Y4603	Ambiliati	77-60	NULL
1fdcd7566a6a	TP7Y4595	Ambivareti	60-40	NULL
eac31cc54fd3	UP6Y4428	Ambrosia	64-29	Indian Gods and legendary heroes
2f40ccfb80fb	UP6H7620	Ambrosia_Vin	53-29	NULL
83d8f521b859	TP5Y0175	AMC_Marlin	59-18	-
847c2ae1a807	UP6Y4480	Amduat	57-11	Gods of Ancient Egypt
9d383152121b	UP6Y4342	Amentet	27-03	Gods of Ancient Egypt
320f34b78920	UP9P3856	American_Cheetah	32-01	NULL
a029ae419ffd	UP7P2482	American_Football	17-49	NULL
b932488e2f89	UP6P1634	American_Graffiti	71-45	Nostalgic look at 1950s California
d3710b74c542	UP9P3854	American_Lion	79-25	NULL
a32cadc39c18	TP6P1303	American_Psycho	48-40	Set in the late 1980s, mainly in Manhattan, and gives an account of roughly two years in the life of Patrick Bateman.
1d5bed53810a	UP8Y5044	Amethyst	24-37	NULL
a54adc5445a7	TP6H7505	Amiralitetsbacken	72-28	-
94d11c7720ed	TP7Y4717	Amlash	12-32	NULL
86e7ab34a561	UP6Y4344	Amma	55-51	African Gods and Legendary Heroes
74fb22318da5	UP8Y5050	Ammolite	08-15	NULL
6fa4662ddf3a	UP5P0922	Ammophilia	45-35	-
659f74962a8f	TP6Y4395	Amon	70-36	Gods of Ancient Egypt
a98f1439ae8c	TP8Y5023	Amosite	33-40	NULL
7a3c19ce515d	UL9P6610	Amphibiosan	82-43	NULL
d70317e62223	AP8P3021	Amsterdam_1928	22-63	NULL
0405750ebd1f	TP8P3451	Amundsen_Scott_Station	14-34	NULL
6b22691c7809	UP5P0614	Amychophobia	29-27	-
0562f85ae5b8	UP6P1434	Anaktuvuk_River	63-29	rises in N Brooks Range
00bf432c9bf4	TP9P3859	Anancus	14-14	NULL
8806ac450665	UP6Y4316	Anangama	60-39	African Gods and Legendary Heroes
9b9cd0a1d8d4	TP7P2287	Anasazi_Nation	17-46	NULL
1335016aaf82	TP7Y4637	Anatoliy	28-46	NULL
392c9448e693	TP5H0177	And	37-06	-
c35b796737d1	UP7Y4588	Andecavii	69-09	NULL
a37cb03a220e	UP6H7738	Anders_Nilsson	45-55	NULL
c3343bd1edb5	TP7Y4719	Andimeshk	18-40	NULL
b0b021a439f6	TP7P2777	Andrea_Doria	11-34	NULL
72feae6a357a	UP6H7506	Andreegatan	47-01	-
1682985137a1	TP9P3891	Andrewsarchus	32-54	NULL
b6bb00c9c2d2	TP5Y0115	Andrew_Wagner	45-16	-
3589541ecefe	TP7Y4535	Andrey	53-06	NULL
8721271a6d2c	UP5P0880	Andromimetophilia	40-17	-
0a08de118fec	UP5P0840	Androphilia	39-25	-
de472b8c6ded	TP7P2235	Anduin	25-14	NULL
0d8f72819b84	UL9P6716	Andy_Arbuckle	82-25	NULL
8b5011b7fd9d	UP6H7646	Anemometer	17-17	NULL
8ef624febccd	UP5P0796	Anesthesiology	38-15	-
eab7ff4359aa	TP7P2261	Angband	17-26	NULL
ae7cc610e8de	TP5Y0177	Angelia_Coupe	63-06	-
3ee49849ffa6	UP5P0864	Angelology	46-47	-
9dd5d112d521	UP9P3714	Angel_Marie	07-19	NULL
6f4c12ba774b	TP8P3395	Angiolieri	37-24	NULL
3ee043a5fde3	UP5P0996	Anglophilia	78-55	-
55305bfb5fd5	TP7P2257	Angmar	62-56	NULL
82a73e5f5675	UP4Y0022	Anheuser_Busch	58-57	-
066b7ebe2c26	TP6P1443	Aniak_River	67-04	flows 100 mi/161 km N to Kuskokwim R. at Aniak
fd46fbc874d2	UP9P3710	Animal	14-53	NULL
9a91a407a4b7	TP6P1725	Animal_House	70-04	A look at the college party experience
f5ca43ce1be1	UL9H6078	Anis	85-57	NULL
2501a0f6a997	UP8Y5104	Anise	19-33	NULL
e68a6acda6b4	UP5H0236	Anka	46-51	-
6c4e3b2db9c9	TP7H8001	Ankare	28-14	NULL
342c60805a05	UP7P2200	Ankle	17-45	NULL
7af1655a84df	TP5P0959	Annapolis	49-10	-
1e79154829b9	UP6P1638	Annie_Hall	64-19	Oscar winning romantic comedy
06a01c105181	UP4H0029	Ansgar	40-43	-
8c7bbad7158a	TP6H7507	Ansgariegatan	72-56	-
8f6c60b20815	UP6P1420	ANSIC	75-15	common system programming language
82e4f98539ba	UP8P3152	Antarctic_Fur_Seal	13-45	NULL
33d79d5f8402	UP5P0520	Antarctic_Wind	19-49	-
755b43a6672e	UP7H8190	Antares	25-25	NULL
d1d2b6a6858d	UP4P0246	Anteater	-	-
16a5b9112b00	UP4P0252	Antelope	21-21	-
846519f9a592	UP5P1004	Anthophilia	39-53	-
fbfd0026868a	UP4P0196	Anthracene	21-37	-
3fdce41283bd	TP8Y5011	Anthraconite	08-52	NULL
2c0cecbd809d	TP5P0981	Anthrax	73-12	-
21b102056701	UP5P0862	Anthropology	46-37	-
57685878b8a9	TP7Y4893	Anticipation	16-32	NULL
58bf6b37d756	AP8P3023	Antwerp_1920	81-64	NULL
aea89c50c9d2	UP6P1350	Ant_Nebula	72-35	Referred to as the Ant Nebula because it resembles the head and thorax of a garden-variety ant.
e02e36073f39	TP6P1503	Anvik_River	67-60	W Alaska, SE of Norton Sound
ac5125a3767b	SCUBE045	Achill	2023-45	NULL
c4fbe853920e	UP7P2186	Aorta	09-33	NULL
139315c78309	UP7P2294	Apache_Tribe	54-17	NULL
2cc578db777a	UP7P2296	Apalachee_Tribe	52-01	NULL
68a981b04825	UP7Y4848	Apalone_Ater	10-27	NULL
4a14426e5c12	UP6H7508	Apelbergsgatan	37-11	-
494299d1099f	TP8P3337	Apennine	27-18	NULL
03a8ad82d44a	TP6P1421	APL	63-54	A Programming Language based on a CS notation by Kenneth Iverson
6de7f063e6bf	TP6P1685	Apocalypse_Now	61-30	Vietnam remake of Heart of Darkness
88012a1b7bf7	UP5P0848	Apodysophilia	71-27	-
ae4684ca4478	AP8P3002	Apollo	16-64	NULL
ca5beeb3e975	UP7Y4742	Apophyse	41-49	NULL
8d1b3ee8f90b	TP4Y0057	Apostel_Braue	71-28	-
81a6a4354127	UL8P6566	Apostle_Islands	83-17	NULL
5d73d043c3b5	TP7H8213	Apotekare	08-34	NULL
91a4f3237e07	UP5P0860	Apotemnophilia	74-21	-
23386c077d61	UP8P3520	Appel	19-15	NULL
b13ef6c4785a	AP6P1182	Appendix	22-62	NULL
d0aaa4430f0f	UP7P2118	Appenzeller	76-25	NULL
91c420c11953	TP4P0093	Apple	2021-04	NULL
cb545b4fdb54	TP6P1627	Appleby	63-34	Appleby is a young pilot from Iowa. Orr does not like him, and cryptically says that he has flies in his eyes
fbc76652eb62	UP6P1450	Applescript	64-03	scripting language built into MacOS
3790c231c86f	TP8P3635	Apples_to_Apples	22-38	NULL
7c162659e9b0	UL9P6740	Apple_Tree	84-59	NULL
4631c8148d56	TL9P6737	Apricot_Tree	84-24	NULL
f35dc4df03a3	TP7P2767	April	04-04	NULL
55ef64629b71	UP7P2526	Aquaman	10-19	NULL
b2965980e6a9	UK4P0053	Aquarius	-	-
226fc0214283	UP8P3366	Arabi	09-07	NULL
f6c43323753e	UP5P0744	Arachnology	38-21	-
f18893dc447e	TP7P2267	Aragorn	36-24	NULL
ce8781b75e57	TP8P3335	Arapawa_Island	51-16	NULL
c7e51e8bc3f9	TP6H7509	Arbetargatan	2020-07	NULL
4a9f5c028a98	TP8P3133	Arbor	09-26	NULL
c388318f78d1	UP7P2524	Archangel	25-15	NULL
0fa175799dac	UP5P0750	Archeology	66-59	-
4ba106b69f9a	UL8P6572	Arches	83-15	NULL
099c7fc94999	TP4Y0007	Arcobraue	71-36	-
b477c2e4c727	TP7P2263	Arda	10-56	NULL
b5b1d5f06d4b	TP7Y4703	Ardakan	03-44	NULL
dea4c94e583f	UP8Y5136	Ardrahan	24-27	NULL
cadddb51694e	UP7Y4574	Aremoricii	76-33	NULL
789ca09a087e	UP4P0148	Argon	21-51	-
9c2b2b464cb9	AP6P1177	Argos	68-61	NULL
81bf7824c854	TP7P2803	Ariane_5	04-44	NULL
8d78210718e2	UP7P2170	Ariel	62-13	NULL
f771bb4dce28	UK4P0045	Aries	-	-
6d88a0134ee7	TP7Y4547	Arina	20-54	NULL
0f435aa75910	UP5P1020	Arizona	-	-
19768b41eb40	TP6Y4413	Arjaman	65-06	Indian Gods and legendary heroes
c9310c0d6306	TP7Y4483	Arkadak	55-24	NULL
dad5d385e30c	TP8P3383	Arkansas_River	26-22	NULL
89f10f0ad93c	TP7H8251	Arkitekt	24-50	NULL
a67609ffa54b	AP6P1180	Arm	03-64	NULL
b07345827db0	UP4P0258	Armadillo	63-21	-
462e0f30442a	UP6H7648	Armatur	17-25	NULL
0f9b958a1f07	UP6P1752	Armavia	60-07	Armenia national airline
f896dc875ac6	TP7Y4831	Aroldo	02-02	NULL
783967143061	UL9H6048	Aromusseron	81-23	NULL
5f61a816cf4e	UP7Y4862	Around_The_Moon	06-37	NULL
e64e073fa6c2	UP7Y4520	Arrierboutix	02-53	NULL
afe151672bc0	UP6P1738	Arrow_Crab	52-59	NULL
6f8b666ecd3e	UP7Y4658	Arseniy	20-39	NULL
2717bc270f5a	TP7Y4569	Arvernii	76-32	NULL
67ce48e1c80d	TP7P2405	Arvin_Radio	41-36	NULL
a0c156324e08	TP7P2697	Asadha	11-40	NULL
1b45d7f2ec13	UP7Y4716	Asalouyeh	12-09	NULL
1eb4f2e88f64	UP6Y4292	Asat	47-49	NULL
289cbeb68612	TP7Y4711	Ashtyan	12-08	NULL
56283d5eef84	TP7P2127	Asiago	27-40	NULL
e12b26b755ea	UP5P0878	Asiaphilia	59-31	-
909bb8f86b53	TL9H6067	Ask	81-02	NULL
c4aac30120bc	UP8P3374	Askanian	26-05	NULL
8311cabdcd24	TL9H6053	Askticka	82-12	NULL
f5279eba6438	UL9H6068	Asp	86-57	NULL
44c3682eb25c	TP4P0217	Asparagus	30-46	-
0bfaa30f26c2	UP8P3568	Aspen	31-01	NULL
451b26895d20	TP5P0967	Aspergillosis	78-06	-
720a5fd55d53	TL9H6029	Aspskinn	81-20	NULL
bd48e39cc714	UP5H0172	Aspudden	39-21	-
1a8dc0a77ab5	UP8Y5084	Assam	51-09	NULL
f157599d64c0	TP6Y4297	Assie	53-12	African Gods and Legendary Heroes
6ff5a731d620	UP7Y4680	Astara	26-33	NULL
5562619654da	UP7Y4530	Asterix	06-33	NULL
73406bd01843	TP6P1595	Asteroids	63-08	a vector based arcade game where you control a ship shooting down asteroids
a3e1a74474ba	TP5Y0179	Aston_Martin_V12	64-54	-
8b73a3b9babb	UP5P0650	Astraphobia	54-39	-
8f61424af0b3	UP5P0792	Astrology	64-41	-
a206d4de714f	TP7Y4495	Astronomix	28-40	NULL
04e30a7eb1b5	TP9P3747	Astronomy_Tower	79-58	NULL
309126999fc9	UP5P0854	Astrophilia	39-55	-
27c85ac90997	TP7P2665	Asvina	04-38	NULL
7b60c607ac74	UP8P3232	Atabaque	05-45	NULL
ff245ac8fbac	SCUBE053	Al_Fiyay	2023-53	NULL
6c10d2c16763	TP6P1881	Atafu	52-63	NULL
c4b2d9e19419	UP5P0590	Ataxophobia	39-13	-
307910cc4bb9	UP7Y4788	Atelopus_Varius	18-25	NULL
711847114248	AP6P1185	Athens	53-61	NULL
d052a96dcb9b	TP7P2295	Atikamekw_Nation	17-34	NULL
292214381c35	TP5P0893	Atlanta	63-02	-
d804447f783f	TL9P6617	Atlantan	79-44	NULL
c2c8f88e9241	UP8P3334	Atlanta_Athletic_Club	37-05	NULL
5b5ff552d618	TP6P1785	Atlantic_Airways	60-18	Faroe Islands national airline
e969a471f154	TP9P3853	Atlas_Bear	14-08	NULL
cd1342918d92	TP6H7649	Audiokabel	68-30	NULL
094e2c31fa02	UP5P0734	Audiology	63-59	-
93fdad986c6f	UP5P0992	Audiophilia	39-33	-
a1dae6880236	TP5Y0181	Audi_A8	40-38	-
467ca5f841bf	TP4Y0063	Aufsesser	58-14	-
c720778eb765	TP7P2769	August	26-20	NULL
07c04b2b559b	TP5P0849	Augusta	49-24	-
d5e73a1f40e5	UP8P3322	Augusta_National	37-09	NULL
736d3f9aa768	UP7Y4580	Aulerci	06-27	NULL
e7c967e8117e	TP8Y5115	Aura	43-16	NULL
8774ae988481	TP9P3893	Aurochs	32-38	NULL
e60b983e412e	UP5P0656	Auroraphobia	29-59	-
62bf2ac01cd6	UP9P3746	Auror_Office	79-15	NULL
e4a226f9abf1	TP5P0843	Austin	75-14	-
07350f467e84	TP5Y0183	Austin_Healey_3000	50-10	-
6aec9c3c3f95	UP6P1856	Australia	61-47	NULL
c238e2c92f50	UP7P2422	Australian_Footy	31-13	NULL
56be376c054f	UP6P1784	Austrian_Airlines	62-15	Austria national airline
1d8883c5eb05	UP5P1000	Autassasinophilia	56-21	-
782ef4e6fa4a	TP4Y0029	Autenrieder	SP-04	NULL
c7441f53be59	UP5P0868	Autogynephilia	59-25	-
7d3fc25a17e6	UP5P0858	Autophilia	40-47	-
88d790d946a5	UP7P2664	Av	26-27	NULL
b821873ff31a	TP5Y0185	Avanti_GT	30-24	-
0e8d14c646de	UP6Y4388	Avatara	66-09	Indian Gods and legendary heroes
cbda462a0029	UP6H7650	Avbitare	53-31	NULL
95a1967435d6	UP7Y4630	Avdotya	20-41	NULL
888f145bf593	UP6P1710	Avianca	61-07	Colombia national airline
743c8fc031d6	TP6H7651	Avlastningsdon	68-20	NULL
5e17341bb4eb	UP4P0204	Avocado	21-47	-
f85b490bd264	UP7Y4508	Avoranfix	53-09	NULL
05e2e21516d8	UP7H8002	Avrusta	26-07	NULL
594bd4460ac1	TP8P3347	Awassi	37-02	NULL
5ec891d83b6a	AP5H0235	Axelsberg	77-64	-
845587c96539	UP8P3178	Axe_File	25-37	NULL
87f40dd137fc	UP5P0766	Axiology	66-55	-
2db3d359d581	UP7Y4748	Axis	08-37	NULL
c6ccd7507d6b	UP6P1214	Azalea	-	Hole 13 Par 5   510 yards
2419aecc23e7	TP7P2663	Azar	04-26	NULL
654318f0ca97	TP6P1795	Azerbaijan_Airlines	52-50	Belgium national airline
474107574a40	TP9P3779	Azkaban	79-28	NULL
7c6a5c9a02d0	UP7Y4900	A_Perfect_Vacuum	06-53	NULL
a1aa615d0a79	UP7Y4870	A_Space_Odyssey	08-35	NULL
700721bb194d	AP6P1129	A_Top	65-64	on top of
e7300376af94	TP6Y4313	Ba	20-46	Gods of Ancient Egypt
a2af6cbe0132	TP6Y4301	Baalchamman	12-34	African Gods and Legendary Heroes
ad084d9664ba	UP5P0584	Baba_Yagaish	-	-
7d1ed7aacdd0	TP7P2103	Babeldaob	75-52	NULL
359ab791855c	TP5P0949	Babesiosis	65-12	-
4fb2e7dcd3cf	UP4P0260	Baboon	-	-
0045bed2e4d1	UP6H7510	Babordsgatan	48-51	-
beef4c77fd7b	AP6P1161	Babylon	75-61	NULL
d4ff422e05b5	TP6P1391	Baccarat	65-60	A card Game
be90c9a998e6	UP8P3606	Bachelor	14-05	NULL
6807dbacd9a9	UP5P0552	Backdraft	38-31	-
ae797d35898e	TP8P3647	Backgammon	14-52	NULL
392736254736	AP6P1134	Back_Stop	-	Pots !
d7bc23a055e1	UP5P0778	Bacteriology	49-39	-
bf15323513ac	UP4P0262	Badger	50-29	-
ddef74809c4a	TP6P1697	Badlands	54-28	lovers on the run from the law
8fe2151454cc	TP7P2491	Badminton	19-46	NULL
6ba0bfbdc3fe	UP7P2718	Bagan_Temples	23-25	NULL
dcc216356b8a	UP5H0182	Bagarmossen	57-49	-
d4297ca9bc97	TP5H0201	Baggeby	-	-
3e3546026c45	TP6H7511	Baggensgatan	57-06	-
a03eebde0246	UP7H8256	Bagis	24-33	NULL
ddf3bd37c45e	UP8P3476	Bag_Drag	31-17	NULL
ea6e0d3a4543	UP6P1756	Bahamas_Air	61-53	The Bahamas national airline
6ab713721759	TP7Y4691	Baharestan	12-42	NULL
d7c64c74116d	TP7P2667	Bahman	11-32	NULL
7fd0332c24ae	UP8P3148	Baiji	13-33	NULL
619ccecb98ea	TP7P2731	Baikal_Seal	27-44	NULL
12f6ba0d5908	TP7Y4511	Bainpublix	06-12	NULL
5b7fe4266846	UP8P3580	Baker	SP-05	NULL
198858dc69cb	TP6P1517	Bake_Neko	48-22	Cat monster
43e81599d704	UP6H7652	Bakplan	77-37	NULL
067e30ec578a	TP8P3461	Balaclava	14-48	NULL
e38fb99f9d50	TP6Y4235	Balanza	60-50	African Gods and Legendary Heroes
